X	Y	OBJECTID	Id	CaseNumber	OccurredDate	OccurredMonth	OccurredYear	DateOfDeath	DateOfDeathMonth	DateOfDeathYear	DateDifference	CaseStatus	Address	Latitude	Longitude	Section	Beat	WeaponCategory	VictimCount	ArresteeCount	Zipcode
-77.63547878	43.15962058	151	36	00-383193	2000-11-04T04:00:00.000Z	11	2000	2000-11-04T04:00:00.000Z	11	2000	0	CLOSED	"566 JAY ST, ROCHESTER, NY, 14611"	43.159612	-77.635476	Lake	291	Firearm	1	1	14611
-77.62261478	43.14133157	150	37	00-384000	2000-11-05T04:00:00.000Z	11	2000	2000-11-05T04:00:00.000Z	11	2000	0	CLOSED	"11 DAY PL, ROCHESTER, NY, 14608"	43.141323	-77.622612	Genesee	233	Physical	1	1	14608
-77.64114379	43.16753558	149	38	00-398207	2000-11-17T05:00:00.000Z	11	2000	2000-11-17T05:00:00.000Z	11	2000	0	OPEN	"134 MYRTLE ST, ROCHESTER, NY, 14606"	43.167527	-77.641141	Lake	261	Firearm	1		14606
-77.60094277	43.18262158	148	39	00-426378	2000-12-15T05:00:00.000Z	12	2000	2000-12-15T05:00:00.000Z	12	2000	0	OPEN	"77 WARSAW ST, ROCHESTER, NY, 14621"	43.182613	-77.60094	Clinton	227	Firearm	1		14621
-77.61520278	43.17798258	147	40	01-001213	2001-01-02T05:00:00.000Z	1	2001	2001-01-02T05:00:00.000Z	1	2001	0	CLOSED	"336 AVENUE A, ROCHESTER, NY, 14621"	43.177974	-77.6152	Clinton	247	Firearm	1	2	14621
-77.62161178	43.18470358	146	41	01-008986	2001-01-09T05:00:00.000Z	1	2001	2001-01-09T05:00:00.000Z	1	2001	0	CLOSED	"16 CUTLER ST, ROCHESTER, NY, 14621"	43.184695	-77.621609	Clinton	217	Unknown	1		14621
-77.64054178	43.13225057	144	43	01-049878	2001-02-15T05:00:00.000Z	2	2001	2001-02-15T05:00:00.000Z	2	2001	0	CLOSED	"58 KRON ST, ROCHESTER, NY, 14619"	43.132242	-77.640539	Genesee	243	Knife/Cutting Instrument	1	1	14619
-77.61967178	43.14254557	143	44	01-076265	2001-03-12T04:00:00.000Z	3	2001	2001-03-12T04:00:00.000Z	3	2001	0	CLOSED	"675 PLYMOUTH AVE SOUTH, ROCHESTER, NY, 14608"	43.142537	-77.619669	Genesee	233	Firearm	1	1	14608
-77.60014377	43.17553258	142	45	01-104106	2001-04-05T04:00:00.000Z	4	2001	2001-04-06T04:00:00.000Z	4	2001	1	OPEN	"856 CLIFFORD AVE, ROCHESTER, NY, 14621"	43.175524	-77.600141	Clinton	257	Unknown	1		14621
-77.60722778	43.18181658	141	46	01-118430	2001-04-16T04:00:00.000Z	4	2001	2001-04-16T04:00:00.000Z	4	2001	0	CLOSED	"26 JOSEPH PL, ROCHESTER, NY, 14621"	43.181808	-77.607225	Clinton	227	Firearm	1	1	14621
-77.62912878	43.14464357	140	47	01-119816	2001-04-18T04:00:00.000Z	4	2001	2001-04-18T04:00:00.000Z	4	2001	0	CLOSED	"515 JEFFERSON AVE, ROCHESTER, NY, 14611"	43.144635	-77.629126	Genesee	233	Firearm	1	2	14611
-77.61208678	43.18275258	139	48	01-120661	2001-04-18T04:00:00.000Z	4	2001	2001-04-18T04:00:00.000Z	4	2001	0	OPEN	"18 BURBANK ST, ROCHESTER, NY, 14621"	43.182744	-77.612084	Clinton	217	Firearm	1		14621
-77.63014678	43.18032558	138	49	01-125898	2001-04-23T04:00:00.000Z	4	2001	2001-04-23T04:00:00.000Z	4	2001	0	OPEN	"25 DRIVING PARK AVE, ROCHESTER, NY, 14613"	43.180317	-77.630144	Lake	251	Firearm	1		14613
-77.56612776	43.16465658	137	50	01-132232	2001-04-28T04:00:00.000Z	4	2001	2001-04-28T04:00:00.000Z	4	2001	0	OPEN	"535 GRAND AVE, ROCHESTER, NY, 14609"	43.164648	-77.566125	Goodman	225	Firearm	1		14609
-77.62637978	43.15313457	135	52	01-180353	2001-06-03T04:00:00.000Z	6	2001	2001-06-03T04:00:00.000Z	6	2001	0	OPEN	"10 KING ST, ROCHESTER, NY, 14608"	43.153126	-77.626377	Genesee	213	Firearm	1		14608
-77.62867678	43.14411457	134	53	01-180639	2001-06-03T04:00:00.000Z	6	2001	2001-06-03T04:00:00.000Z	6	2001	0	CLOSED	"540 JEFFERSON AVE, ROCHESTER, NY, 14608"	43.144106	-77.628674	Genesee	233	Firearm	1	2	14608
-77.61341878	43.18422158	136	51	01-184001	2001-06-01T04:00:00.000Z	6	2001	2001-06-02T04:00:00.000Z	6	2001	1	CLOSED	"1340 CLINTON AVE NORTH, ROCHESTER, NY, 14621"	43.184213	-77.613416	Clinton	217	Firearm	1	1	14621
-77.57805077	43.17370658	133	54	01-193213	2001-06-12T04:00:00.000Z	6	2001	2001-06-12T04:00:00.000Z	6	2001	0	CLOSED	"140 HIGH ST, ROCHESTER, NY, 14609"	43.173698	-77.578048	Clinton	267	Blunt Object	1	1	14609
-77.63558578	43.15929058	132	55	01-193481	2001-06-13T04:00:00.000Z	6	2001	2001-06-13T04:00:00.000Z	6	2001	0	CLOSED	"565 JAY ST, ROCHESTER, NY, 14611"	43.159282	-77.635583	Lake	291	Blunt Object	1		14611
-77.59061977	43.17575958	131	56	01-200550	2001-06-18T04:00:00.000Z	6	2001	2001-06-18T04:00:00.000Z	6	2001	0	OPEN	"540 PORTLAND AVE, ROCHESTER, NY, 14621"	43.175751	-77.590617	Clinton	267	Firearm	1		14621
-77.63703978	43.16027658	130	57	01-217248	2001-06-29T04:00:00.000Z	6	2001	2001-06-29T04:00:00.000Z	6	2001	0	CLOSED	"185 WHITNEY ST, ROCHESTER, NY, 14606"	43.160268	-77.637037	Lake	291	Firearm	1	1	14606
-77.59434477	43.17224658	129	58	01-222919	2001-07-04T04:00:00.000Z	7	2001	2001-07-04T04:00:00.000Z	7	2001	0	CLOSED	"20 HOLLISTER ST, ROCHESTER, NY, 14605"	43.172238	-77.594342	Clinton	277	Firearm	1	1	14605
-77.62946078	43.19498258	128	59	01-227454	2001-07-07T04:00:00.000Z	7	2001	2001-07-07T04:00:00.000Z	7	2001	0	CLOSED	"95 RIDGE RD WEST, ROCHESTER, NY, 14615"	43.194974	-77.629458	Lake	211	Knife/Cutting Instrument	1	1	14615
-77.62495678	43.17800958	127	60	01-228915	2001-07-08T04:00:00.000Z	7	2001	2001-07-08T04:00:00.000Z	7	2001	0	CLOSED	"1218 ST PAUL ST, ROCHESTER, NY, 14621"	43.178001	-77.624954	Clinton	247	Firearm	1	1	14621
-77.59557977	43.17928558	125	62	01-272871	2001-08-08T04:00:00.000Z	8	2001	2001-08-08T04:00:00.000Z	8	2001	0	CLOSED	"111 HERALD ST, ROCHESTER, NY, 14621"	43.179277	-77.595577	Clinton	257	Firearm	1	1	14621
-77.60006677	43.17475458	126	61	01-273054	2001-08-08T04:00:00.000Z	8	2001	2001-08-08T04:00:00.000Z	8	2001	0	CLOSED	"14 DUDLEY ST, ROCHESTER, NY, 14605"	43.174746	-77.600064	Clinton	277	Unknown	1	1	14605
-77.63004878	43.17273058	124	63	01-281422	2001-08-13T04:00:00.000Z	8	2001	2001-08-14T04:00:00.000Z	8	2001	1	CLOSED	"124 FULTON AVE, ROCHESTER, NY, 14613"	43.172722	-77.630046	Lake	271	Firearm	1	1	14613
-77.64829279	43.14557457	123	64	01-282700	2001-08-14T04:00:00.000Z	8	2001	2001-08-14T04:00:00.000Z	8	2001	0	CLOSED	"35 POST AVE, ROCHESTER, NY, 14611"	43.145566	-77.64829	Genesee	223	Firearm	1	1	14611
-77.63269778	43.16015158	122	65	01-287571	2001-08-18T04:00:00.000Z	8	2001	2001-08-18T04:00:00.000Z	8	2001	0	CLOSED	"291 SAXTON ST, ROCHESTER, NY, 14606"	43.160143	-77.632695	Lake	291	Firearm	1	1	14606
-77.62788378	43.15201957	121	66	01-294368	2001-08-23T04:00:00.000Z	8	2001	2001-08-23T04:00:00.000Z	8	2001	0	OPEN	"567 MAIN ST WEST, ROCHESTER, NY, 14608"	43.152011	-77.627881	Genesee	213	Firearm	1		14608
-77.60960278	43.17972158	120	67	01-307150	2001-09-01T04:00:00.000Z	9	2001	2001-09-01T04:00:00.000Z	9	2001	0	OPEN	"38 DALE ST, ROCHESTER, NY, 14621"	43.179713	-77.6096	Clinton	247	Firearm	1		14621
-77.61269878	43.17388458	119	68	01-308204	2001-09-01T04:00:00.000Z	9	2001	2001-09-01T04:00:00.000Z	9	2001	0	OPEN	"840 CLINTON AVE NORTH, ROCHESTER, NY, 14605"	43.173876	-77.612696	Clinton	277	Firearm	1		14605
-77.63842379	43.18182758	118	69	01-318132	2001-09-09T04:00:00.000Z	9	2001	2001-09-09T04:00:00.000Z	9	2001	0	OPEN	"234 SELYE TER, ROCHESTER, NY, 14613"	43.181819	-77.638421	Lake	231	Firearm	1		14613
-77.64006278	43.15224557	117	70	01-332049	2001-09-19T04:00:00.000Z	9	2001	2001-09-19T04:00:00.000Z	9	2001	0	CLOSED	"104 HORTENSE ST, ROCHESTER, NY, 14611"	43.152237	-77.64006	Genesee	203	Other	1	1	14611
-77.61205078	43.17625958	116	71	01-336778	2001-09-23T04:00:00.000Z	9	2001	2001-09-23T04:00:00.000Z	9	2001	0	CLOSED	"43 MEAD ST, ROCHESTER, NY, 14621"	43.176251	-77.612048	Clinton	247	Firearm	1	1	14621
-77.62628478	43.14609157	115	72	01-343355	2001-09-28T04:00:00.000Z	9	2001	2001-09-28T04:00:00.000Z	9	2001	0	OPEN	"165 REYNOLDS ST, ROCHESTER, NY, 14608"	43.146083	-77.626282	Genesee	233	Firearm	1		14608
-77.59971277	43.15670358	575	274	01-349376	2001-10-04T04:00:00.000Z	10	2001	2006-02-13T05:00:00.000Z	2	2006	1593	OPEN	"170 EAST AVE, ROCHESTER, NY, 14604"	43.156695	-77.59971	Central	219	Firearm	1		14604
-77.65077979	43.13324057	114	73	01-354803	2001-10-08T04:00:00.000Z	10	2001	2001-10-09T04:00:00.000Z	10	2001	1	OPEN	"584 THURSTON RD, ROCHESTER, NY, 14619"	43.133232	-77.650777	Genesee	243	Firearm	2		14619
-77.63442378	43.12410157	113	74	01-391824	2001-11-08T05:00:00.000Z	11	2001	2001-11-08T05:00:00.000Z	11	2001	0	CLOSED	"133 ELMWOOD AVE, ROCHESTER, NY, 14611"	43.124093	-77.634421	Genesee	243	Other	1	1	14611
-77.59154077	43.17275058	112	75	01-413471	2001-11-28T05:00:00.000Z	11	2001	2001-11-28T05:00:00.000Z	11	2001	0	OPEN	"46 COUNCIL ST, ROCHESTER, NY, 14605"	43.172742	-77.591538	Clinton	267	Firearm	1		14605
-77.62991378	43.14296257	111	76	01-416841	2001-11-30T05:00:00.000Z	11	2001	2001-11-30T05:00:00.000Z	11	2001	0	CLOSED	"160 BARTLETT ST, ROCHESTER, NY, 14611"	43.142954	-77.629911	Genesee	233	Firearm	1	1	14611
-77.64967179	43.14605657	110	77	01-418963	2001-12-02T05:00:00.000Z	12	2001	2001-12-02T05:00:00.000Z	12	2001	0	CLOSED	"484 CHILI AVE, ROCHESTER, NY, 14611"	43.146048	-77.649669	Genesee	203	Other	1	1	14611
-77.60431877	43.18012958	109	78	01-420201	2001-12-03T05:00:00.000Z	12	2001	2001-12-03T05:00:00.000Z	12	2001	0	CLOSED	"118 EIFFEL PL, ROCHESTER, NY, 14621"	43.180121	-77.604316	Clinton	257	Unknown	1	1	14621
-77.65469079	43.14312757	108	79	01-430275	2001-12-12T05:00:00.000Z	12	2001	2001-12-12T05:00:00.000Z	12	2001	0	CLOSED	"130 DEVONSHIRE CT, ROCHESTER, NY, 14619"	43.143119	-77.654688	Genesee	223	Knife/Cutting Instrument	1	3	14619
-77.58869377	43.17559958	107	80	01-447637	2001-12-29T05:00:00.000Z	12	2001	2001-12-29T05:00:00.000Z	12	2001	0	OPEN	"1260 CLIFFORD AVE, ROCHESTER, NY, 14621"	43.175591	-77.588691	Clinton	267	Firearm	1		14621
-77.61054578	43.18392558	106	81	02-001433	2002-01-02T05:00:00.000Z	1	2002	2002-01-02T05:00:00.000Z	1	2002	0	CLOSED	"16 WEAVER ST, ROCHESTER, NY, 14621"	43.183917	-77.610543	Clinton	217	Firearm	1	3	14621
-77.65377779	43.14292757	105	82	02-027823	2002-01-16T05:00:00.000Z	1	2002	2002-01-16T05:00:00.000Z	1	2002	0	CLOSED	"80 TURNER ST, ROCHESTER, NY, 14619"	43.142919	-77.653775	Genesee	223	Firearm	1	2	14619
-77.62920278	43.16565358	104	83	02-033479	2002-01-30T05:00:00.000Z	1	2002	2002-01-30T05:00:00.000Z	1	2002	0	CLOSED	"115 AMBROSE ST, ROCHESTER, NY, 14608"	43.165645	-77.6292	Lake	271	Firearm	1	1	14608
-77.64179578	43.12347357	103	84	02-035959	2002-02-02T05:00:00.000Z	2	2002	2002-02-02T05:00:00.000Z	2	2002	0	CLOSED	"1395 GENESEE ST, ROCHESTER, NY, 14611"	43.123465	-77.641793	Genesee	243	Knife/Cutting Instrument	1	1	14611
-77.63431678	43.17114058	102	85	02-046263	2002-02-11T05:00:00.000Z	2	2002	2002-02-11T05:00:00.000Z	2	2002	0	OPEN	"1 EDGERTON PARK, ROCHESTER, NY, 14613"	43.171132	-77.634314	Lake	271	Unknown	1		14613
-77.58045676	43.13897357	101	86	02-053636	2002-02-18T05:00:00.000Z	2	2002	2002-02-18T05:00:00.000Z	2	2002	0	OPEN	"1099 MONROE AVE, ROCHESTER, NY, 14620"	43.138965	-77.580454	Goodman	255	Blunt Object	1		14620
-77.60647777	43.17527458	100	87	02-060397	2002-02-23T05:00:00.000Z	2	2002	2002-02-23T05:00:00.000Z	2	2002	0	CLOSED	"632 CLIFFORD AVE, ROCHESTER, NY, 14621"	43.175266	-77.606475	Clinton	257	Firearm	1	2	14621
-77.62190778	43.17452158	99	88	02-060568	2002-02-24T05:00:00.000Z	2	2002	2002-02-24T05:00:00.000Z	2	2002	0	CLOSED	"81 CLIFFORD AVE, ROCHESTER, NY, 14621"	43.174513	-77.621905	Clinton	277	Firearm	1	1	14621
-77.59806377	43.17436658	98	89	02-066955	2002-03-01T05:00:00.000Z	3	2002	2002-03-01T05:00:00.000Z	3	2002	0	OPEN	"33 WATKIN TER, ROCHESTER, NY, 14605"	43.174358	-77.598061	Clinton	277	Firearm	1		14605
-77.58864077	43.17127458	97	90	02-097402	2002-03-28T04:00:00.000Z	3	2002	2002-03-28T04:00:00.000Z	3	2002	0	CLOSED	"20 ROHR ST, ROCHESTER, NY, 14605"	43.171266	-77.588638	Clinton	267	Firearm	1		14605
-77.63808678	43.16072658	96	91	02-117954	2002-04-13T04:00:00.000Z	4	2002	2002-04-13T04:00:00.000Z	4	2002	0	CLOSED	"866 SMITH ST, ROCHESTER, NY, 14606"	43.160718	-77.638084	Lake	291	Physical	1	1	14606
-77.62514378	43.15390457	95	92	02-120386	2002-04-15T04:00:00.000Z	4	2002	2002-04-15T04:00:00.000Z	4	2002	0	OPEN	"33 CANAL ST, ROCHESTER, NY, 14608"	43.153896	-77.625141	Genesee	213	Blunt Object	1		14608
-77.62117178	43.18453458	93	94	02-156769	2002-05-15T04:00:00.000Z	5	2002	2002-05-15T04:00:00.000Z	5	2002	0	CLOSED	"30 CUTLER ST, ROCHESTER, NY, 14621"	43.184526	-77.621169	Clinton	217	Firearm	1	1	14621
-77.62117178	43.18453458	94	93	02-157061	2002-05-15T04:00:00.000Z	5	2002	2002-05-15T04:00:00.000Z	5	2002	0	CLOSED	"30 CUTLER ST, ROCHESTER, NY, 14621"	43.184526	-77.621169	Clinton	217	Firearm	1	1	14621
-77.62473578	43.14868357	92	95	02-190238	2002-06-10T04:00:00.000Z	6	2002	2002-06-10T04:00:00.000Z	6	2002	0	OPEN	"245 ADAMS ST, ROCHESTER, NY, 14608"	43.148675	-77.624733	Genesee	213	Knife/Cutting Instrument	1		14608
-77.62473578	43.14868357	44	97	02-190512	2002-06-10T04:00:00.000Z	6	2002	2002-06-10T04:00:00.000Z	6	2002	0	OPEN	"245 ADAMS ST, ROCHESTER, NY, 14608"	43.148675	-77.624733	Genesee	213	Knife/Cutting Instrument	1		14608
-77.62473578	43.14868357	91	96	02-190513	2002-06-10T04:00:00.000Z	6	2002	2002-06-10T04:00:00.000Z	6	2002	0	OPEN	"245 ADAMS ST, ROCHESTER, NY, 14608"	43.148675	-77.624733	Genesee	213	Knife/Cutting Instrument	1		14608
-77.64207279	43.16481958	43	98	02-201490	2002-06-18T04:00:00.000Z	6	2002	2002-06-18T04:00:00.000Z	6	2002	0	CLOSED	"500 LYELL AVE, ROCHESTER, NY, 14606"	43.164811	-77.64207	Lake	291	Physical	1	1	14606
-77.62036678	43.18035558	41	100	02-209802	2002-06-25T04:00:00.000Z	6	2002	2002-06-25T04:00:00.000Z	6	2002	0	CLOSED	"156 AVENUE D, ROCHESTER, NY, 14621"	43.180347	-77.620364	Clinton	247	Firearm	1	1	14621
-77.62036678	43.18035558	42	99	02-209810	2002-06-25T04:00:00.000Z	6	2002	2002-06-25T04:00:00.000Z	6	2002	0	CLOSED	"156 AVENUE D, ROCHESTER, NY, 14621"	43.180347	-77.620364	Clinton	247	Firearm	1	1	14621
-77.65077979	43.13683757	40	101	02-220907	2002-07-02T04:00:00.000Z	7	2002	2002-07-02T04:00:00.000Z	7	2002	0	OPEN	"410 THURSTON RD, ROCHESTER, NY, 14619"	43.136829	-77.650777	Genesee	243	Firearm	1		14619
-77.60825278	43.18924658	39	102	02-237301	2002-07-15T04:00:00.000Z	7	2002	2002-07-15T04:00:00.000Z	7	2002	0	OPEN	"126 SENECA AVE, ROCHESTER, NY, 14621"	43.189238	-77.60825	Clinton	227	Firearm	1		14621
-77.58747877	43.17172858	37	104	02-261627	2002-08-01T04:00:00.000Z	8	2002	2002-08-01T04:00:00.000Z	8	2002	0	CLOSED	"262 FIRST ST, ROCHESTER, NY, 14605"	43.17172	-77.587476	Clinton	267	Unknown	1	1	14605
-77.58747877	43.17172858	38	103	02-261853	2002-08-01T04:00:00.000Z	8	2002	2002-08-01T04:00:00.000Z	8	2002	0	CLOSED	"262 FIRST ST, ROCHESTER, NY, 14605"	43.17172	-77.587476	Clinton	267	Unknown	1	1	14605
